Generated by henre-083631 on 04 Sep 2023 10:09
Invoice no.,Invoice date,No. of shipments,Subtotal,VAT,Total,Outstanding,Status,Tracking references,Shipment status
INV11353936,31 Aug 2023,6,1357.03,203.55,1560.58,0.00,Paid,"K6ZFWF,RCGM6D,RIE6674,RIE6677,TSWWTT,HWZCSG",Multiple
INV11330542,30 Aug 2023,6,826.03,123.90,949.93,0.00,Paid,"RIE6669,RIE6668,RIE6641,RIE6655,RIE6671,8KF7LD",Multiple
INV11309155,29 Aug 2023,1,113.50,17.03,130.53,0.00,Paid,6N3CHC,Delivered
INV11286518,28 Aug 2023,5,767.52,115.13,882.65,0.00,Paid,"RIE6676,M4PJ6P,CNPGXP,JWDVZW,JBVRNT",Multiple
INV11241834,24 Aug 2023,2,192.01,28.80,220.81,0.00,Paid,"S6MKST,RVZ3TN",Multiple
INV11179085,21 Aug 2023,1,113.50,17.03,130.53,0.00,Paid,RCX6VV,Delivered
INV11153772,18 Aug 2023,5,767.52,115.13,882.65,0.00,Paid,"K6GMLB,4VTMWB,NXVXSJ,7H8DQR,DXT4DP",Multiple
INV11133961,17 Aug 2023,1,113.50,17.03,130.53,0.00,Paid,C3BD9Z,Delivered
INV11112509,16 Aug 2023,3,390.51,58.58,449.09,0.00,Paid,"QTM6WB,GHQSFB,FGHTX7",Multiple
INV11091548,15 Aug 2023,1,113.50,17.03,130.53,0.00,Paid,4RBJHB,Delivered
INV11068995,14 Aug 2023,1,113.50,17.03,130.53,0.00,Paid,64XVGB,Delivered
INV11044149,11 Aug 2023,2,227.01,34.05,261.06,0.00,Paid,"RIE6656,RIE6665",Multiple
INV11024414,10 Aug 2023,4,623.02,93.45,716.47,0.00,Paid,"GTSH3B,JDDS3B,F7NNKB,RIE6659",Multiple
INV10995479,08 Aug 2023,2,447.01,67.05,514.06,0.00,Paid,"TPXP3B,JZPCNB",Multiple
INV10981989,07 Aug 2023,1,113.50,17.03,130.53,0.00,Paid,LVVBTB,Delivered
INV10956580,04 Aug 2023,1,78.50,11.78,90.28,0.00,Paid,RIEWEB147788,Delivered
INV10937801,03 Aug 2023,1,353.50,53.03,406.53,0.00,Paid,LK68XB,Delivered
INV10918454,02 Aug 2023,1,113.50,17.03,130.53,0.00,Paid,NBB7XB,Delivered
